icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
5829,"LUCKEY, Henry Carl",House,Democrat,Center,-0.072,0.166,NE,1868,1956,missionary,Midwest,22,17,0.772727273,74,75,2,0.636363636,0.909090909,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
858,"BORAH, William Edgar",Senate,Republican,Right,0.191,0.704,ID,1865,1940,missionary,Rockies,44,34,0.772727273,60,76,3,0.785714286,0.75,0.772727273,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5944,"MALONE, George Wilson",Senate,Republican,Right,0.312,0.413,NV,1890,1961,lost,Rockies,158,122,0.772151899,80,85,6,X,X,X,X,X,X,0.6,0.84,0.846153846,0.941176471,0.688888889,0.815789474,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8476,"SHIPSTEAD, Henrik",Senate,Independent,Right,0.21,0.978,MN,1881,1960,missionary,Midwest,162,125,0.771604938,68,79,6,1,0.666666667,0.803278689,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8476,"SHIPSTEAD, Henrik",Senate,Republican,Right,0.21,0.978,MN,1881,1960,missionary,Midwest,162,125,0.771604938,68,79,6,X,X,X,0.585365854,0.75,0.947368421,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
189,"ANDREW, Abram Piatt, Jr.",House,Republican,Center,0.393,-0.271,MA,1873,1936,missionary,North,13,10,0.769230769,67,74,1,0.769230769,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8607,"SMITH, Clyde Harold",House,Republican,Center,0.187,-0.804,ME,1876,1940,missionary,North,26,20,0.769230769,75,76,2,X,0.777777778,0.764705882,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5120,"KEENEY, Russell Watson",House,Republican,Right,0.383,0.673,IL,1897,1958,lost,Midwest,13,10,0.769230769,85,85,1,X,X,X,X,X,X,X,X,X,X,X,0.769230769,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8721,"SNELL, Bertrand Hollis",House,Republican,Right,0.512,-0.196,NY,1870,1958,missionary,North,21,16,0.761904762,64,75,2,0.666666667,0.888888889,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7864,"RICH, Robert Fleming",House,Republican,Right,0.664,0.295,PA,1883,1968,lost,North,137,104,0.759124088,71,81,7,0.916666667,1,0.821428571,0.578947368,X,0.695652174,0.857142857,0.818181818,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2770,"DUNN, Aubert Culberson",House,Democrat,Right,-0.051,0.999,MS,1896,1987,lost,South,4,3,0.75,74,74,1,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
7350,"PERKINS, Randolph",House,Republican,Right,0.518,-0.127,NJ,1871,1936,missionary,North,8,6,0.75,67,74,1,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9311,"THOMAS, William David",House,Republican,Right,0.464,0.011,NY,1880,1936,missionary,North,4,3,0.75,73,74,1,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
836,"BOLTON, Chester Castle",House,Republican,Center,0.469,-0.851,OH,1882,1939,missionary,Midwest,20,15,0.75,71,76,2,0.666666667,X,0.818181818,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
3243,"FOCHT, Benjamin Kurtz",House,Republican,Center,0.363,-0.025,PA,1863,1937,missionary,North,20,15,0.75,60,75,2,0.733333333,0.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8254,"SCHALL, Thomas David",Senate,Republican,Right,0.321,0.595,MN,1878,1935,missionary,Midwest,12,9,0.75,64,74,1,0.75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
